Wall time,Step,Value
1739716780.5649588,244,2.447892904281616
1739716780.600281,248,1.661950945854187
1739716780.604877,249,1.8334250450134277
1739716780.609393,250,3.4926319122314453
1739716780.6118977,250,2.507575035095215
1739716780.6230452,252,1.7540849447250366
1739716780.6250448,252,1.8879899978637695
1739716780.6491084,256,1.6078829765319824
1739716780.6536455,257,1.7329200506210327
1739716780.6678178,259,1.6735949516296387
1739716780.6759017,260,1.670667052268982
1739716780.685199,262,1.8272069692611694
1739716780.6862,262,1.7262920141220093
1739716780.6901991,262,1.7720379829406738
1739716780.6921992,263,1.630815029144287
1739716780.704856,265,1.6376529932022095
1739716780.7068605,265,1.9289480447769165
1739716780.7083647,265,1.7125799655914307
1739716780.7229018,268,1.7463359832763672
1739716780.7359269,270,4.359274864196777
1739716780.7458982,271,2.4643349647521973
1739716780.7599204,273,2.141465902328491
1739716780.7631154,273,1.6668310165405273
1739716780.7742066,274,1.798833966255188
1739716780.784827,276,1.8084429502487183
1739716780.7858322,276,1.8677949905395508
1739716780.8071737,279,1.6658010482788086
1739716780.8130145,280,1.7142260074615479
1739716780.8150136,280,1.7144789695739746
1739716780.8150136,280,1.8689789772033691
1739716780.817014,280,1.7386289834976196
1739716780.8180141,280,1.6829830408096313
1739716780.8333688,283,1.7729460000991821
1739716780.8540525,285,1.6496219635009766
1739716780.8590534,286,1.615067958831787
1739716780.8700864,287,1.7125810384750366
1739716780.8700864,287,1.7239149808883667
1739716780.8811095,289,1.7780539989471436
1739716780.9012275,292,1.6033639907836914
1739716780.9068403,292,2.0238630771636963
1739716780.917881,294,1.8101450204849243
1739716780.919879,294,1.5968730449676514
1739716780.9331355,296,1.5121510028839111
1739716780.9391365,297,1.676630973815918
1739716780.94539,298,2.2036728858947754
1739716780.94539,298,2.1135380268096924
1739716780.9499009,299,1.8566279411315918
1739716780.95407,299,1.7601399421691895
1739716780.9620697,300,1.5147730112075806
1739716780.9642112,301,1.7035340070724487
1739716780.9733546,302,1.652953028678894
1739716780.9808652,303,1.6122970581054688
1739716780.9829538,303,1.676211953163147
1739716780.9981158,305,1.7141629457473755
1739716781.0021148,306,1.5437710285186768
1739716781.0149229,308,1.7457289695739746
1739716781.0250614,309,1.659505009651184
1739716781.0381742,311,1.580536961555481
1739716781.049254,312,1.768388032913208
1739716781.0512552,313,1.6116440296173096
1739716781.0527637,313,1.491637945175171
1739716781.0552714,313,1.6228679418563843
1739716781.0572796,313,1.5731600522994995
1739716781.0672977,315,1.5742729902267456
1739716781.0738094,316,1.6269340515136719
1739716781.0839071,317,1.5222289562225342
1739716781.1040816,320,1.7569999694824219
1739716781.1201026,322,1.8908720016479492
1739716781.122102,322,1.7497440576553345
1739716781.1271436,323,1.4485960006713867
1739716781.1281419,323,1.5593299865722656
1739716781.1498456,326,1.6746530532836914
1739716781.1548734,326,1.420261025428772
1739716781.1639657,328,1.4988080263137817
1739716781.1679626,328,1.8363620042800903
1739716781.1789906,329,1.60105299949646
1739716781.1819916,330,1.3988709449768066
1739716781.1840482,330,1.7220940589904785
1739716781.190047,331,1.5230070352554321
1739716781.1920483,331,1.5181200504302979
1739716781.2108045,334,1.7618299722671509
1739716781.2133164,334,1.6712000370025635
1739716781.2183168,335,1.5561970472335815
1739716781.250292,339,1.5736490488052368
1739716781.2549152,340,1.4281129837036133
1739716781.2579231,340,1.5150350332260132
1739716781.2640429,341,1.4613330364227295
1739716781.2680423,342,1.51528000831604
1739716781.2710416,342,1.4155210256576538
1739716781.2919393,344,1.3761500120162964
1739716781.3030138,345,1.47039794921875
1739716781.3090105,346,2.020659923553467
1739716781.3101225,346,1.8558540344238281
1739716781.3181865,347,1.581017017364502
1739716781.3269038,348,1.4731550216674805
1739716781.328903,349,1.6080479621887207
1739716781.3679543,353,1.6376069784164429
1739716781.3709624,354,1.4439829587936401
1739716781.3719382,354,1.4988800287246704
1739716781.3781142,355,1.5521889925003052
1739716781.4272645,361,1.8316019773483276
1739716781.4337783,362,1.5803879499435425
1739716781.4337783,362,1.5854849815368652
1739716781.4362917,362,1.6064649820327759
1739716781.4382906,362,1.6402870416641235
1739716781.4392896,363,1.6007850170135498
1739716781.4402902,363,1.5492570400238037
1739716781.4602435,365,1.3668630123138428
1739716781.46375,365,1.5590519905090332
1739716781.4652555,366,1.4591779708862305
1739716781.470261,366,1.5144579410552979
1739716781.4837966,368,1.489042043685913
1739716781.485305,368,1.2787120342254639
1739716781.4863112,368,1.4323819875717163
1739716781.496338,370,1.5076069831848145
1739716781.5058477,371,1.8031120300292969
1739716781.5093532,372,1.5963399410247803
1739716781.5103614,372,1.4732919931411743
1739716781.5168757,373,1.3420840501785278
1739716781.518875,373,1.5734139680862427
1739716781.5268705,374,1.3512940406799316
1739716781.5323763,375,1.55513596534729
1739716781.5489142,377,1.6087239980697632
1739716781.5534272,378,1.4978140592575073
1739716781.5649536,379,1.5831249952316284
1739716781.5699594,380,1.4968960285186768
1739716781.5749855,380,1.3014110326766968
1739716781.5779939,381,1.2474050521850586
1739716781.5910225,382,1.4331979751586914
1739716781.5935357,383,1.2482579946517944
1739716781.622619,386,1.353279948234558
1739716781.6349401,388,1.2960530519485474
1739716781.645976,389,1.4359610080718994
1739716781.6469648,389,1.471724033355713
1739716781.6599894,391,1.3518799543380737
1739716781.6609895,391,1.3461339473724365
1739716781.662496,391,1.3852430582046509
1739716781.6700127,392,1.3487420082092285
1739716781.680045,393,1.4365060329437256
1739716781.6980991,395,1.3826420307159424
1739716781.7000992,395,1.4892359972000122
1739716781.7096307,396,1.2982850074768066
1739716781.7131505,397,1.569512963294983
1739716781.7150235,397,1.4854780435562134
1739716781.71704,397,1.411592960357666
1739716781.7400906,400,1.413782000541687
1739716781.7626176,402,1.3674310445785522
1739716781.7681744,403,1.2509750127792358
1739716781.770175,403,1.4420349597930908
1739716781.7772045,404,1.3771400451660156
1739716781.7868416,405,1.2186529636383057
1739716781.8049066,407,1.6050000190734863
1739716781.8079147,407,1.835239052772522
1739716781.8189397,409,1.3675040006637573
1739716781.829966,410,1.4191279411315918
1739716781.8309684,410,1.5067709684371948
1739716781.8369973,411,1.3113230466842651
1739716781.8409972,411,1.4128119945526123
1739716781.8425071,412,1.3418960571289062
1739716781.8490286,412,1.2233749628067017
1739716781.8520286,413,1.3093810081481934
1739716781.8580613,413,1.2296550273895264
1739716781.859059,413,1.2756810188293457
1739716781.8642051,414,1.2628569602966309
1739716781.8692107,414,1.2737189531326294
1739716781.87121,415,1.3259119987487793
1739716781.8733678,415,1.2573120594024658
1739716781.8989456,418,1.190951943397522
1739716781.9069712,419,1.3834489583969116
1739716781.9209926,420,1.2301230430603027
1739716781.938049,422,1.1811610460281372
1739716781.9526207,424,2.059972047805786
1739716781.9691753,426,1.5784599781036377
1739716781.9802082,428,1.5746400356292725
1739716781.9862413,428,1.386376976966858
1739716781.991241,429,1.2523390054702759
1739716781.993647,429,1.4160749912261963
1739716781.9951572,430,1.3189610242843628
1739716781.9961681,430,1.3401509523391724
1739716782.0292861,434,1.2737820148468018
1739716782.0312853,434,1.4660420417785645
1739716782.037317,435,1.2288780212402344
1739716782.0449152,436,1.2944660186767578
1739716782.0469227,436,1.438704013824463
1739716782.0479212,436,1.3836359977722168
1739716782.0524302,437,1.297353982925415
1739716782.064962,438,1.3172370195388794
1739716782.0860498,441,1.208894968032837
1739716782.100317,442,1.2670400142669678
1739716782.101318,443,1.2730950117111206
1739716782.1053405,443,1.2958190441131592
1739716782.1234217,445,1.3686150312423706
1739716782.1269405,446,1.1633100509643555
1739716782.1409674,447,1.2102580070495605
1739716782.1535156,449,1.1508549451828003
1739716782.1600318,450,1.3966909646987915
1739716782.1801238,452,1.3991990089416504
1739716782.1982381,455,1.2462420463562012
1739716782.21429,457,1.411944031715393
1739716782.2358973,459,1.3404040336608887
1739716782.243409,460,1.2833119630813599
1739716782.25344,461,1.3405330181121826
1739716782.263467,463,1.3533589839935303
1739716782.2649755,463,1.3044899702072144
1739716782.2800126,464,1.2109739780426025
1739716782.306939,468,1.524243950843811
1739716782.3219786,470,1.2197489738464355
1739716782.3270543,470,1.1904079914093018
1739716782.353799,473,1.1597089767456055
1739716782.3593106,474,1.1442500352859497
1739716782.3613117,474,1.21903395652771
1739716782.3653307,475,1.2023290395736694
1739716782.369845,475,1.2042369842529297
1739716782.3753567,476,1.3172450065612793
1739716782.3768623,476,1.2291040420532227
1739716782.3934119,478,1.2308000326156616
1739716782.3989253,479,1.0970089435577393
1739716782.4150362,481,1.0858949422836304
1739716782.423547,482,1.2041749954223633
1739716782.4250546,482,1.302785038948059
1739716782.4300625,483,1.1376099586486816
1739716782.4381104,484,1.1521090269088745
1739716782.442109,484,1.1511520147323608
1739716782.44917,485,1.2003690004348755
1739716782.4572473,486,1.1893630027770996
1739716782.476308,488,1.0750999450683594
1739716782.47831,489,1.2370150089263916
1739716782.4803085,489,1.0990500450134277
1739716782.490842,490,1.1832430362701416
1739716782.5191958,494,1.3446550369262695
1739716782.5211947,494,1.240224003791809
1739716782.5337374,495,1.262387990951538
1739716782.5462825,497,1.0708810091018677
1739716782.5580952,499,1.30034601688385
1739716782.5600963,499,1.1330480575561523
1739716782.5636077,499,1.2411940097808838
1739716782.567126,500,1.0671099424362183
1739716782.5801525,501,1.171288013458252
1739716782.5811527,501,1.1711310148239136
1739716782.5926907,503,1.356037974357605
1739716782.5936944,503,1.1333420276641846
1739716782.5992115,504,1.0605260133743286
1739716782.6193228,506,1.1549309492111206
1739716782.6203215,506,1.2113349437713623
1739716782.625344,507,1.2643769979476929
1739716782.64491,509,1.2138479948043823
1739716782.6519186,510,1.1161799430847168
1739716782.6599438,511,1.015815019607544
1739716782.6679735,512,1.103309988975525
1739716782.6719756,512,1.074465036392212
1739716782.686217,514,1.0768510103225708
1739716782.6892166,514,1.0756200551986694
1739716782.6912165,514,1.1039179563522339
1739716782.6937323,515,1.0079779624938965
1739716782.7138903,517,1.2141180038452148
1739716782.7279222,519,1.0844310522079468
1739716782.7309208,519,1.0747970342636108
1739716782.7403753,520,1.1403369903564453
1739716782.7438903,521,1.2019150257110596
1739716782.746908,521,1.125
1739716782.761097,523,1.23219895362854
1739716782.7749457,525,1.0230900049209595
1739716782.777954,525,1.1930409669876099
1739716782.7809517,525,1.0649440288543701
1739716782.7909777,527,1.007127046585083
1739716782.793277,527,1.1427299976348877
1739716782.8027866,528,1.1313079595565796
1739716782.8037887,528,1.0966269969940186
1739716782.8083065,529,1.0525920391082764
1739716782.8093061,529,1.1430330276489258
1739716782.810306,529,1.0955439805984497
1739716782.8212073,530,1.0825309753417969
1739716782.8237195,531,1.0622040033340454
1739716782.839263,533,1.174968957901001
1739716782.8452857,533,1.0757499933242798
1739716782.8472939,534,1.1010099649429321
1739716782.8583214,535,1.070986032485962
1739716782.8671858,536,1.1391390562057495
1739716782.8691862,536,1.069674015045166
1739716782.8736987,537,0.9584479928016663
1739716782.8827226,538,0.9877790212631226
1739716782.8952556,539,1.1851760149002075
1739716782.9213061,543,1.213752031326294
1739716782.937855,545,1.2209919691085815
1739716782.9398541,545,0.9501019716262817
1739716782.940854,545,1.054805040359497
1739716782.944865,546,0.9811540246009827
1739716782.9558938,547,0.9993469715118408
1739716782.9634058,548,1.0390770435333252
1739716782.9709196,549,1.0524020195007324
1739716782.974931,550,1.0251450538635254
1739716782.978941,550,1.0299160480499268
1739716782.998293,552,0.9390490055084229
1739716783.0363338,557,1.2622510194778442
1739716783.039333,557,1.2093989849090576
1739716783.0478456,559,0.9961069822311401
1739716783.057877,560,1.0855430364608765
1739716783.0633895,560,1.1223009824752808
1739716783.0633895,561,1.1014679670333862
1739716783.0669081,561,1.0107309818267822
1739716783.074059,562,1.0811630487442017
1739716783.082567,563,0.9928269982337952
1739716783.0835688,563,0.9832940101623535
1739716783.0835688,563,0.9512569904327393
1739716783.0890846,564,0.9637240171432495
1739716783.1038284,565,1.0748100280761719
1739716783.1209047,567,1.0824990272521973
1739716783.126219,568,0.9861590266227722
1739716783.1282191,568,1.0751320123672485
1739716783.1343768,569,1.0085699558258057
1739716783.141889,570,1.0408129692077637
1739716783.14501,570,1.0873689651489258
1739716783.1510093,571,1.0715689659118652
1739716783.1551027,571,1.0287829637527466
1739716783.1801896,574,0.9385210275650024
1739716783.1869621,575,1.054800033569336
1739716783.1879613,575,1.0685189962387085
1739716783.1899607,576,1.0375419855117798
1739716783.1940777,576,0.9745129942893982
1739716783.196076,577,1.0325870513916016
1739716783.201076,577,0.9208509922027588
1739716783.2071068,578,0.9444050192832947
1739716783.2081063,578,1.057569980621338
1739716783.2131555,579,0.9929720163345337
1739716783.2181616,579,1.0748029947280884
1739716783.2372234,581,1.0429630279541016
1739716783.2402234,582,0.9895970225334167
1739716783.2472532,583,0.91041499376297
1739716783.255274,584,1.0028549432754517
1739716783.2637935,585,0.9632459878921509
1739716783.2959104,588,0.9052709937095642
1739716783.3049257,590,1.00251305103302
1739716783.3149915,591,1.1134220361709595
1739716783.3199987,591,1.1314359903335571
1739716783.330022,593,0.9144350290298462
1739716783.3310223,593,0.8931879997253418
1739716783.349068,595,1.0716389417648315
1739716783.3590915,596,1.1233799457550049
1739716783.3781378,598,0.8888120055198669
1739716783.4021864,601,1.067939043045044
1739716783.4052005,601,0.9689030051231384
1739716783.4212651,603,0.9450060129165649
1739716783.4227688,603,0.867061972618103
1739716783.435303,605,0.8920699954032898
1739716783.4383106,605,1.035838007926941
1739716783.4560108,607,0.9701730012893677
1739716783.461005,608,1.04756498336792
1739716783.470087,609,0.8790180087089539
1739716783.4748535,610,0.9604150056838989
1739716783.4924023,612,0.9033759832382202
1739716783.5024347,613,0.9479550123214722
1739716783.5069556,614,0.9527810215950012
1739716783.507956,614,0.9791250228881836
1739716783.5235028,616,0.9619089961051941
1739716783.5280232,616,0.7644349932670593
1739716783.539276,617,0.9254019856452942
1739716783.5478537,618,1.046370029449463
1739716783.5488563,619,1.1426500082015991
1739716783.5543146,619,1.133787989616394
1739716783.5634117,620,0.9361950159072876
1739716783.5689275,621,0.9519889950752258
1739716783.576149,622,0.8530330061912537
1739716783.5821514,622,1.0155220031738281
1739716783.5835378,623,0.8819149732589722
1739716783.5850432,623,0.8747469782829285
1739716783.5990982,624,0.9827430248260498
1739716783.6010976,625,0.9229009747505188
1739716783.6072311,625,1.050220012664795
1739716783.6327653,629,0.8577330112457275
1739716783.6449738,630,1.0883640050888062
1739716783.6535094,631,0.914372980594635
1739716783.667155,632,0.8766360282897949
1739716783.673742,633,0.8162059783935547
1739716783.673742,633,0.811489999294281
1739716783.679905,634,0.8815979957580566
1739716783.6862323,634,0.8324509859085083
1739716783.6901758,635,0.9072179794311523
1739716783.6901758,635,0.9004349708557129
1739716783.6911762,635,0.8052440285682678
1739716783.7089481,637,0.8667299747467041
1739716783.7089481,637,0.952701985836029
1739716783.712103,637,0.9953659772872925
1739716783.722637,638,0.7858679890632629
1739716783.72617,639,0.8758999705314636
1739716783.7485173,641,0.9188119769096375
1739716783.7540984,642,1.0033739805221558
1739716783.7570953,642,0.9262620210647583
1739716783.7620995,643,0.9372460246086121
1739716783.771139,644,0.7918930053710938
1739716783.772143,644,0.7875239849090576
1739716783.774287,644,0.8958879709243774
1739716783.7773223,644,0.7801669836044312
1739716783.783856,645,0.8354520201683044
1739716783.796958,647,0.834604024887085
1739716783.7999675,647,0.8815730214118958
1739716783.8009686,647,0.9575300216674805
1739716783.8070307,648,0.8674910068511963
1739716783.820912,650,0.9055269956588745
1739716783.8326237,651,0.92951899766922
1739716783.8688524,655,0.7813209891319275
1739716783.8799095,657,0.9910110235214233
1739716783.8819103,657,0.9257040023803711
1739716783.9051435,659,0.8720200061798096
1739716783.9061632,660,0.78786700963974
1739716783.9189699,661,0.8581879734992981
1739716783.9261713,662,0.9839720129966736
1739716783.9291642,662,0.8988320231437683
1739716783.938245,663,0.9344779849052429
1739716783.9422472,664,0.8096420168876648
1739716783.9470067,664,0.8592929840087891
1739716783.9601245,666,0.9484570026397705
1739716783.9636426,666,0.8068829774856567
1739716783.966161,667,0.8695700168609619
1739716783.9671667,667,0.8551430106163025
1739716783.9783306,668,0.9224629998207092
1739716783.981331,668,0.8464890122413635
1739716783.9898763,669,0.9316070079803467
1739716783.9923818,670,0.8129209876060486
1739716784.0059197,671,0.8149219751358032
1739716784.011426,672,0.8480389714241028
1739716784.0189645,673,0.8462160229682922
1739716784.028009,674,0.8551279902458191
1739716784.04506,676,0.9143249988555908
1739716784.0490675,676,0.9006230235099792
1739716784.061199,678,0.820999026298523
1739716784.0979898,682,0.8363100290298462
1739716784.0989907,682,0.9292550086975098
1739716784.1009893,682,0.9035090208053589
1739716784.121283,684,0.8174219727516174
1739716784.1549141,688,0.8114749789237976
1739716784.1599205,689,0.8038470149040222
1739716784.1689453,689,0.8457639813423157
1739716784.1699467,690,0.7523429989814758
1739716784.1953487,692,0.7170789837837219
1739716784.2029052,693,0.7136510014533997
1739716784.2129517,694,0.8378120064735413
1739716784.2159564,695,0.9073529839515686
1739716784.2199345,695,0.7614480257034302
1739716784.226986,696,0.8350070118904114
1739716784.2692382,701,0.7997159957885742
1739716784.2752526,702,0.810467004776001
1739716784.2882903,703,0.913474977016449
1739716784.293803,704,0.769340991973877
1739716784.314894,706,0.7324349880218506
1739716784.317903,706,0.7765439748764038
1739716784.3279293,707,0.839136004447937
1739716784.340957,709,0.7532510161399841
1739716784.3450475,709,0.8473910093307495
1739716784.353562,710,0.7365760207176208
1739716784.3691223,712,0.7714359760284424
1739716784.3772328,713,0.7438169717788696
1739716784.388315,714,0.8308159708976746
1739716784.395335,715,0.7227140069007874
1739716784.4030483,716,0.7098349928855896
1739716784.4090507,717,0.7549539804458618
1739716784.4236171,718,0.7521860003471375
1739716784.4251246,719,0.8037139773368835
1739716784.4271343,719,0.7254430055618286
1739716784.4291317,719,0.7591490149497986
1739716784.4336414,720,0.8591780066490173
1739716784.4426732,721,0.8017680048942566
1739716784.4471865,721,0.7204030156135559
1739716784.450187,722,0.8276609778404236
1739716784.4526954,722,0.7729600071907043
1739716784.458215,723,0.8711850047111511
1739716784.4602137,723,0.7537779808044434
